request_id,source_location_id,destination_location_id,category,urgency,urgency_score,time_submitted,deadline,status
Q058,L005,L036,Plumbing,HIGH,2,2026-07-02T08:26:00,2026-07-02T12:26:00,NEW
Q059,L013,L036,Plumbing,MEDIUM,3,2026-07-02T13:24:00,2026-07-03T13:24:00,NEW
Q060,L040,L036,Structural,MEDIUM,3,2026-07-05T13:30:00,2026-07-06T13:30:00,NEW
Q061,L001,L036,Plumbing,MEDIUM,3,2026-07-04T15:47:00,2026-07-05T15:47:00,NEW
Q062,L026,L036,Structural,LOW,4,2026-07-04T10:17:00,2026-07-07T10:17:00,NEW
Q063,L014,L036,Electrical,HIGH,2,2026-07-04T09:53:00,2026-07-04T13:53:00,NEW
Q064,L015,L036,Electrical,MEDIUM,3,2026-07-01T13:37:00,2026-07-02T13:37:00,NEW
Q065,L019,L036,Electrical,MEDIUM,3,2026-07-02T14:11:00,2026-07-03T14:11:00,NEW
Q066,L002,L036,Plumbing,HIGH,2,2026-07-03T12:48:00,2026-07-03T16:48:00,NEW
Q067,L037,L036,Electrical,LOW,4,2026-07-04T11:53:00,2026-07-07T11:53:00,NEW
Q068,L003,L036,Electrical,MEDIUM,3,2026-07-03T10:41:00,2026-07-04T10:41:00,NEW
Q069,L003,L036,Equipment Movement,CRITICAL,1,2026-07-01T10:12:00,2026-07-01T12:12:00,NEW
Q070,L033,L036,Structural,HIGH,2,2026-07-04T17:07:00,2026-07-04T21:07:00,NEW
Q071,L019,L036,Electrical,MEDIUM,3,2026-07-03T09:38:00,2026-07-04T09:38:00,NEW
Q072,L021,L036,Structural,HIGH,2,2026-07-02T11:06:00,2026-07-02T15:06:00,NEW
Q073,L020,L036,Equipment Movement,MEDIUM,3,2026-07-04T13:45:00,2026-07-05T13:45:00,NEW
Q074,L006,L036,Structural,LOW,4,2026-07-02T08:44:00,2026-07-05T08:44:00,NEW
Q075,L028,L036,Equipment Movement,MEDIUM,3,2026-07-01T16:50:00,2026-07-02T16:50:00,NEW
Q076,L002,L036,Plumbing,MEDIUM,3,2026-07-01T15:41:00,2026-07-02T15:41:00,NEW
Q077,L011,L036,Equipment Movement,LOW,4,2026-07-01T13:23:00,2026-07-04T13:23:00,NEW
Q078,L022,L036,Equipment Movement,MEDIUM,3,2026-07-04T09:46:00,2026-07-05T09:46:00,NEW
Q079,L018,L036,Structural,MEDIUM,3,2026-07-05T14:29:00,2026-07-06T14:29:00,NEW
Q080,L014,L036,Structural,HIGH,2,2026-07-02T08:17:00,2026-07-02T12:17:00,NEW
Q081,L037,L036,Electrical,MEDIUM,3,2026-07-05T17:24:00,2026-07-06T17:24:00,NEW
Q082,L011,L036,Plumbing,HIGH,2,2026-07-04T10:22:00,2026-07-04T14:22:00,NEW
Q083,L029,L036,Plumbing,LOW,4,2026-07-03T15:00:00,2026-07-06T15:00:00,NEW
Q084,L017,L036,Electrical,HIGH,2,2026-07-04T14:35:00,2026-07-04T18:35:00,NEW
Q085,L027,L036,Structural,MEDIUM,3,2026-07-04T14:50:00,2026-07-05T14:50:00,NEW
Q086,L001,L036,Electrical,MEDIUM,3,2026-07-02T11:42:00,2026-07-03T11:42:00,NEW
Q087,L020,L036,Plumbing,MEDIUM,3,2026-07-04T15:21:00,2026-07-05T15:21:00,NEW
Q088,L011,L036,Plumbing,HIGH,2,2026-07-02T08:46:00,2026-07-02T12:46:00,NEW
Q089,L006,L036,Electrical,MEDIUM,3,2026-07-02T10:13:00,2026-07-03T10:13:00,NEW
Q090,L026,L036,Electrical,MEDIUM,3,2026-07-05T16:18:00,2026-07-06T16:18:00,NEW
Q091,L046,L036,Equipment Movement,HIGH,2,2026-07-03T09:19:00,2026-07-03T13:19:00,NEW
Q092,L001,L036,Plumbing,HIGH,2,2026-07-01T15:18:00,2026-07-01T19:18:00,NEW
Q093,L025,L036,Electrical,LOW,4,2026-07-04T08:55:00,2026-07-07T08:55:00,NEW
Q094,L001,L036,Electrical,MEDIUM,3,2026-07-03T09:03:00,2026-07-04T09:03:00,NEW
Q095,L008,L036,Equipment Movement,HIGH,2,2026-07-01T13:31:00,2026-07-01T17:31:00,NEW
Q096,L003,L036,Structural,CRITICAL,1,2026-07-02T16:19:00,2026-07-02T18:19:00,NEW
Q097,L003,L036,Electrical,MEDIUM,3,2026-07-04T16:38:00,2026-07-05T16:38:00,NEW
Q098,L029,L036,Electrical,MEDIUM,3,2026-07-04T14:19:00,2026-07-05T14:19:00,NEW
Q099,L035,L036,Equipment Movement,HIGH,2,2026-07-05T07:39:00,2026-07-05T11:39:00,NEW
Q100,L044,L036,Electrical,MEDIUM,3,2026-07-02T11:42:00,2026-07-03T11:42:00,NEW
Q101,L003,L036,Electrical,MEDIUM,3,2026-07-02T07:26:00,2026-07-03T07:26:00,NEW
Q102,L015,L036,Structural,HIGH,2,2026-07-02T11:45:00,2026-07-02T15:45:00,NEW
Q103,L009,L036,Equipment Movement,CRITICAL,1,2026-07-02T11:50:00,2026-07-02T13:50:00,NEW
Q104,L029,L036,Structural,LOW,4,2026-07-02T13:07:00,2026-07-05T13:07:00,NEW
Q105,L018,L036,Structural,LOW,4,2026-07-02T08:03:00,2026-07-05T08:03:00,NEW
Q106,L006,L036,Plumbing,MEDIUM,3,2026-07-05T11:28:00,2026-07-06T11:28:00,NEW
Q107,L004,L036,Structural,MEDIUM,3,2026-07-03T15:34:00,2026-07-04T15:34:00,NEW
Q108,L016,L036,Electrical,CRITICAL,1,2026-07-04T12:38:00,2026-07-04T14:38:00,NEW
Q109,L008,L036,Electrical,LOW,4,2026-07-05T16:01:00,2026-07-08T16:01:00,NEW
Q110,L050,L036,Structural,HIGH,2,2026-07-01T09:30:00,2026-07-01T13:30:00,NEW
Q111,L017,L036,Plumbing,HIGH,2,2026-07-05T13:40:00,2026-07-05T17:40:00,NEW
Q112,L030,L036,Equipment Movement,MEDIUM,3,2026-07-04T12:20:00,2026-07-05T12:20:00,NEW
Q113,L024,L036,Equipment Movement,HIGH,2,2026-07-04T11:42:00,2026-07-04T15:42:00,NEW
Q114,L043,L036,Equipment Movement,MEDIUM,3,2026-07-04T08:20:00,2026-07-05T08:20:00,NEW
Q115,L008,L036,Electrical,MEDIUM,3,2026-07-05T07:42:00,2026-07-06T07:42:00,NEW
Q116,L036,L036,Plumbing,CRITICAL,1,2026-07-05T12:39:00,2026-07-05T14:39:00,NEW
Q117,L027,L036,Structural,MEDIUM,3,2026-07-02T11:35:00,2026-07-03T11:35:00,NEW
Q118,L004,L036,Electrical,LOW,4,2026-07-04T08:01:00,2026-07-07T08:01:00,NEW
Q119,L044,L036,Structural,HIGH,2,2026-07-02T11:35:00,2026-07-02T15:35:00,NEW
Q120,L001,L036,Plumbing,HIGH,2,2026-07-01T14:07:00,2026-07-01T18:07:00,NEW
Q121,L023,L036,Electrical,LOW,4,2026-07-03T15:45:00,2026-07-06T15:45:00,NEW
Q122,L009,L036,Equipment Movement,LOW,4,2026-07-02T14:35:00,2026-07-05T14:35:00,NEW
Q123,L005,L036,Electrical,MEDIUM,3,2026-07-02T08:17:00,2026-07-03T08:17:00,NEW
Q124,L028,L036,Equipment Movement,HIGH,2,2026-07-05T11:52:00,2026-07-05T15:52:00,NEW
Q125,L001,L036,Structural,LOW,4,2026-07-05T17:31:00,2026-07-08T17:31:00,NEW
Q126,L035,L036,Plumbing,MEDIUM,3,2026-07-03T15:48:00,2026-07-04T15:48:00,NEW
Q127,L018,L036,Plumbing,HIGH,2,2026-07-02T10:36:00,2026-07-02T14:36:00,NEW
Q128,L012,L036,Equipment Movement,MEDIUM,3,2026-07-03T14:45:00,2026-07-04T14:45:00,NEW
Q129,L041,L036,Plumbing,LOW,4,2026-07-02T14:02:00,2026-07-05T14:02:00,NEW
Q130,L004,L036,Equipment Movement,HIGH,2,2026-07-01T14:06:00,2026-07-01T18:06:00,NEW
Q131,L018,L036,Plumbing,MEDIUM,3,2026-07-04T17:09:00,2026-07-05T17:09:00,NEW
Q132,L003,L036,Structural,HIGH,2,2026-07-05T13:41:00,2026-07-05T17:41:00,NEW
Q133,L003,L036,Plumbing,MEDIUM,3,2026-07-05T13:20:00,2026-07-06T13:20:00,NEW
Q134,L022,L036,Equipment Movement,MEDIUM,3,2026-07-05T07:39:00,2026-07-06T07:39:00,NEW
Q135,L003,L036,Structural,LOW,4,2026-07-02T08:27:00,2026-07-05T08:27:00,NEW
Q136,L045,L036,Structural,MEDIUM,3,2026-07-01T14:10:00,2026-07-02T14:10:00,NEW
Q137,L024,L036,Equipment Movement,CRITICAL,1,2026-07-01T11:22:00,2026-07-01T13:22:00,NEW
Q138,L012,L036,Electrical,MEDIUM,3,2026-07-05T17:50:00,2026-07-06T17:50:00,NEW
Q139,L006,L036,Electrical,MEDIUM,3,2026-07-04T16:43:00,2026-07-05T16:43:00,NEW
Q140,L008,L036,Equipment Movement,HIGH,2,2026-07-04T17:16:00,2026-07-04T21:16:00,NEW
Q141,L015,L036,Structural,LOW,4,2026-07-04T11:43:00,2026-07-07T11:43:00,NEW
Q142,L019,L036,Electrical,LOW,4,2026-07-05T11:40:00,2026-07-08T11:40:00,NEW
Q143,L044,L036,Structural,MEDIUM,3,2026-07-03T10:24:00,2026-07-04T10:24:00,NEW
Q144,L035,L036,Electrical,MEDIUM,3,2026-07-03T16:18:00,2026-07-04T16:18:00,NEW
Q145,L049,L036,Electrical,LOW,4,2026-07-04T11:00:00,2026-07-07T11:00:00,NEW
Q146,L019,L036,Structural,MEDIUM,3,2026-07-01T16:47:00,2026-07-02T16:47:00,NEW
Q147,L017,L036,Equipment Movement,HIGH,2,2026-07-02T16:51:00,2026-07-02T20:51:00,NEW
Q148,L011,L036,Structural,MEDIUM,3,2026-07-02T17:06:00,2026-07-03T17:06:00,NEW
Q149,L040,L036,Structural,HIGH,2,2026-07-04T07:37:00,2026-07-04T11:37:00,NEW
Q150,L012,L036,Electrical,LOW,4,2026-07-03T13:11:00,2026-07-06T13:11:00,NEW
Q151,L007,L036,Structural,LOW,4,2026-07-03T15:32:00,2026-07-06T15:32:00,NEW
Q152,L041,L036,Equipment Movement,HIGH,2,2026-07-04T11:47:00,2026-07-04T15:47:00,NEW
Q153,L036,L036,Equipment Movement,MEDIUM,3,2026-07-01T09:48:00,2026-07-02T09:48:00,NEW
Q154,L044,L036,Equipment Movement,MEDIUM,3,2026-07-04T15:23:00,2026-07-05T15:23:00,NEW
Q155,L003,L036,Plumbing,HIGH,2,2026-07-01T14:23:00,2026-07-01T18:23:00,NEW
Q156,L024,L036,Structural,MEDIUM,3,2026-07-03T08:43:00,2026-07-04T08:43:00,NEW
Q157,L008,L036,Electrical,LOW,4,2026-07-05T12:58:00,2026-07-08T12:58:00,NEW
Q158,L021,L036,Structural,MEDIUM,3,2026-07-04T11:41:00,2026-07-05T11:41:00,NEW
Q159,L013,L036,Electrical,LOW,4,2026-07-03T14:07:00,2026-07-06T14:07:00,NEW
Q160,L003,L036,Equipment Movement,HIGH,2,2026-07-04T12:42:00,2026-07-04T16:42:00,NEW
Q161,L043,L036,Structural,MEDIUM,3,2026-07-05T09:56:00,2026-07-06T09:56:00,NEW
Q162,L013,L036,Electrical,MEDIUM,3,2026-07-04T11:02:00,2026-07-05T11:02:00,NEW
Q163,L024,L036,Electrical,MEDIUM,3,2026-07-02T12:06:00,2026-07-03T12:06:00,NEW
Q164,L046,L036,Plumbing,LOW,4,2026-07-03T07:25:00,2026-07-06T07:25:00,NEW
Q165,L009,L036,Equipment Movement,LOW,4,2026-07-04T08:42:00,2026-07-07T08:42:00,NEW
Q166,L007,L036,Structural,LOW,4,2026-07-01T12:15:00,2026-07-04T12:15:00,NEW
Q167,L048,L036,Structural,HIGH,2,2026-07-05T10:37:00,2026-07-05T14:37:00,NEW
Q168,L007,L036,Equipment Movement,HIGH,2,2026-07-02T16:00:00,2026-07-02T20:00:00,NEW
Q169,L009,L036,Equipment Movement,LOW,4,2026-07-05T11:51:00,2026-07-08T11:51:00,NEW
Q170,L006,L036,Structural,CRITICAL,1,2026-07-01T12:50:00,2026-07-01T14:50:00,NEW
Q171,L029,L036,Structural,CRITICAL,1,2026-07-03T07:08:00,2026-07-03T09:08:00,NEW
Q172,L026,L036,Plumbing,MEDIUM,3,2026-07-04T14:49:00,2026-07-05T14:49:00,NEW
Q173,L011,L036,Structural,MEDIUM,3,2026-07-02T16:02:00,2026-07-03T16:02:00,NEW
Q174,L026,L036,Equipment Movement,MEDIUM,3,2026-07-03T14:41:00,2026-07-04T14:41:00,NEW
Q175,L044,L036,Electrical,MEDIUM,3,2026-07-04T13:43:00,2026-07-05T13:43:00,NEW
Q176,L004,L036,Structural,MEDIUM,3,2026-07-01T12:38:00,2026-07-02T12:38:00,NEW
Q177,L005,L036,Electrical,MEDIUM,3,2026-07-05T15:45:00,2026-07-06T15:45:00,NEW
Q178,L010,L036,Equipment Movement,MEDIUM,3,2026-07-04T15:38:00,2026-07-05T15:38:00,NEW
Q179,L014,L036,Structural,HIGH,2,2026-07-05T10:27:00,2026-07-05T14:27:00,NEW
Q180,L015,L036,Electrical,HIGH,2,2026-07-04T13:26:00,2026-07-04T17:26:00,NEW
Q181,L026,L036,Plumbing,HIGH,2,2026-07-03T12:09:00,2026-07-03T16:09:00,NEW
Q182,L024,L036,Plumbing,CRITICAL,1,2026-07-01T08:27:00,2026-07-01T10:27:00,NEW
Q183,L003,L036,Structural,LOW,4,2026-07-05T07:37:00,2026-07-08T07:37:00,NEW
Q184,L043,L036,Structural,MEDIUM,3,2026-07-04T12:55:00,2026-07-05T12:55:00,NEW
Q185,L023,L036,Structural,LOW,4,2026-07-01T11:38:00,2026-07-04T11:38:00,NEW
Q186,L010,L036,Electrical,MEDIUM,3,2026-07-02T17:30:00,2026-07-03T17:30:00,NEW
Q187,L007,L036,Electrical,LOW,4,2026-07-03T08:48:00,2026-07-06T08:48:00,NEW
Q188,L009,L036,Electrical,MEDIUM,3,2026-07-05T16:39:00,2026-07-06T16:39:00,NEW
Q189,L024,L036,Structural,MEDIUM,3,2026-07-03T07:11:00,2026-07-04T07:11:00,NEW
Q190,L009,L036,Structural,LOW,4,2026-07-03T07:11:00,2026-07-06T07:11:00,NEW
Q191,L036,L036,Structural,MEDIUM,3,2026-07-02T17:01:00,2026-07-03T17:01:00,NEW
Q192,L003,L036,Plumbing,MEDIUM,3,2026-07-04T12:10:00,2026-07-05T12:10:00,NEW
Q193,L012,L036,Structural,MEDIUM,3,2026-07-05T16:05:00,2026-07-06T16:05:00,NEW
Q194,L037,L036,Electrical,MEDIUM,3,2026-07-01T17:05:00,2026-07-02T17:05:00,NEW
Q195,L009,L036,Structural,MEDIUM,3,2026-07-04T13:17:00,2026-07-05T13:17:00,NEW
Q196,L007,L036,Plumbing,HIGH,2,2026-07-01T11:43:00,2026-07-01T15:43:00,NEW
Q197,L024,L036,Plumbing,MEDIUM,3,2026-07-01T10:25:00,2026-07-02T10:25:00,NEW
Q198,L047,L036,Electrical,HIGH,2,2026-07-02T09:48:00,2026-07-02T13:48:00,NEW
Q199,L008,L036,Plumbing,CRITICAL,1,2026-07-04T09:08:00,2026-07-04T11:08:00,NEW
Q200,L012,L036,Structural,MEDIUM,3,2026-07-03T08:25:00,2026-07-04T08:25:00,NEW
Q201,L035,L036,Electrical,CRITICAL,1,2026-07-01T12:36:00,2026-07-01T14:36:00,NEW
Q202,L014,L036,Plumbing,MEDIUM,3,2026-07-03T08:25:00,2026-07-04T08:25:00,NEW
Q203,L001,L036,Plumbing,LOW,4,2026-07-05T14:53:00,2026-07-08T14:53:00,NEW
Q204,L024,L036,Plumbing,MEDIUM,3,2026-07-01T10:27:00,2026-07-02T10:27:00,NEW
Q205,L020,L036,Plumbing,MEDIUM,3,2026-07-03T12:14:00,2026-07-04T12:14:00,NEW
Q206,L011,L036,Electrical,MEDIUM,3,2026-07-01T15:32:00,2026-07-02T15:32:00,NEW
Q207,L006,L036,Structural,MEDIUM,3,2026-07-02T10:06:00,2026-07-03T10:06:00,NEW
Q208,L005,L036,Electrical,MEDIUM,3,2026-07-01T09:49:00,2026-07-02T09:49:00,NEW
Q209,L022,L036,Plumbing,MEDIUM,3,2026-07-05T14:43:00,2026-07-06T14:43:00,NEW
Q210,L041,L036,Structural,MEDIUM,3,2026-07-05T12:55:00,2026-07-06T12:55:00,NEW
Q211,L044,L036,Plumbing,MEDIUM,3,2026-07-04T14:40:00,2026-07-05T14:40:00,NEW
Q212,L010,L036,Electrical,CRITICAL,1,2026-07-05T08:19:00,2026-07-05T10:19:00,NEW
Q213,L015,L036,Electrical,MEDIUM,3,2026-07-03T08:41:00,2026-07-04T08:41:00,NEW
Q214,L035,L036,Equipment Movement,MEDIUM,3,2026-07-05T13:29:00,2026-07-06T13:29:00,NEW
Q215,L020,L036,Equipment Movement,MEDIUM,3,2026-07-01T14:58:00,2026-07-02T14:58:00,NEW
Q216,L030,L036,Structural,HIGH,2,2026-07-04T15:09:00,2026-07-04T19:09:00,NEW
Q217,L043,L036,Plumbing,LOW,4,2026-07-03T08:32:00,2026-07-06T08:32:00,NEW
Q218,L023,L036,Electrical,MEDIUM,3,2026-07-04T15:33:00,2026-07-05T15:33:00,NEW
Q219,L021,L036,Plumbing,LOW,4,2026-07-04T13:49:00,2026-07-07T13:49:00,NEW
Q220,L011,L036,Structural,MEDIUM,3,2026-07-03T08:21:00,2026-07-04T08:21:00,NEW
Q221,L003,L036,Structural,HIGH,2,2026-07-05T09:21:00,2026-07-05T13:21:00,NEW
Q222,L003,L036,Structural,LOW,4,2026-07-03T17:44:00,2026-07-06T17:44:00,NEW
Q223,L023,L036,Electrical,MEDIUM,3,2026-07-01T11:35:00,2026-07-02T11:35:00,NEW
Q224,L012,L036,Structural,LOW,4,2026-07-05T08:41:00,2026-07-08T08:41:00,NEW
Q225,L024,L036,Plumbing,CRITICAL,1,2026-07-03T09:13:00,2026-07-03T11:13:00,NEW
Q226,L011,L036,Structural,HIGH,2,2026-07-02T09:04:00,2026-07-02T13:04:00,NEW
Q227,L009,L036,Structural,MEDIUM,3,2026-07-05T15:02:00,2026-07-06T15:02:00,NEW
Q228,L023,L036,Equipment Movement,MEDIUM,3,2026-07-05T13:09:00,2026-07-06T13:09:00,NEW
Q229,L005,L036,Equipment Movement,MEDIUM,3,2026-07-02T14:02:00,2026-07-03T14:02:00,NEW
Q230,L013,L036,Structural,HIGH,2,2026-07-04T16:18:00,2026-07-04T20:18:00,NEW
Q231,L027,L036,Structural,HIGH,2,2026-07-02T11:51:00,2026-07-02T15:51:00,NEW
Q232,L028,L036,Equipment Movement,HIGH,2,2026-07-05T14:29:00,2026-07-05T18:29:00,NEW
Q233,L028,L036,Structural,MEDIUM,3,2026-07-04T09:52:00,2026-07-05T09:52:00,NEW
Q234,L007,L036,Structural,LOW,4,2026-07-01T17:30:00,2026-07-04T17:30:00,NEW
Q235,L036,L036,Structural,HIGH,2,2026-07-05T08:18:00,2026-07-05T12:18:00,NEW
Q236,L003,L036,Electrical,MEDIUM,3,2026-07-05T09:53:00,2026-07-06T09:53:00,NEW
Q237,L014,L036,Equipment Movement,HIGH,2,2026-07-04T12:59:00,2026-07-04T16:59:00,NEW
Q238,L001,L036,Electrical,MEDIUM,3,2026-07-02T13:05:00,2026-07-03T13:05:00,NEW
Q239,L012,L036,Electrical,LOW,4,2026-07-03T09:08:00,2026-07-06T09:08:00,NEW
Q240,L002,L036,Equipment Movement,MEDIUM,3,2026-07-02T14:28:00,2026-07-03T14:28:00,NEW
Q241,L021,L036,Equipment Movement,CRITICAL,1,2026-07-02T09:35:00,2026-07-02T11:35:00,NEW
Q242,L042,L036,Structural,MEDIUM,3,2026-07-03T10:19:00,2026-07-04T10:19:00,NEW
Q243,L004,L036,Electrical,MEDIUM,3,2026-07-05T14:04:00,2026-07-06T14:04:00,NEW
Q244,L004,L036,Equipment Movement,MEDIUM,3,2026-07-01T17:32:00,2026-07-02T17:32:00,NEW
Q245,L020,L036,Structural,HIGH,2,2026-07-01T16:22:00,2026-07-01T20:22:00,NEW
Q246,L008,L036,Plumbing,MEDIUM,3,2026-07-01T15:23:00,2026-07-02T15:23:00,NEW
Q247,L003,L036,Plumbing,MEDIUM,3,2026-07-05T15:01:00,2026-07-06T15:01:00,NEW
Q248,L012,L036,Plumbing,MEDIUM,3,2026-07-03T11:47:00,2026-07-04T11:47:00,NEW
Q249,L001,L036,Structural,HIGH,2,2026-07-01T16:47:00,2026-07-01T20:47:00,NEW
Q250,L027,L036,Electrical,MEDIUM,3,2026-07-03T17:11:00,2026-07-04T17:11:00,NEW
Q251,L032,L036,Structural,LOW,4,2026-07-04T17:11:00,2026-07-07T17:11:00,NEW
Q252,L030,L036,Electrical,MEDIUM,3,2026-07-04T07:18:00,2026-07-05T07:18:00,NEW
Q253,L007,L036,Structural,LOW,4,2026-07-03T11:32:00,2026-07-06T11:32:00,NEW
Q254,L013,L036,Equipment Movement,MEDIUM,3,2026-07-01T17:12:00,2026-07-02T17:12:00,NEW
Q255,L009,L036,Equipment Movement,CRITICAL,1,2026-07-03T11:07:00,2026-07-03T13:07:00,NEW
Q256,L029,L036,Plumbing,MEDIUM,3,2026-07-04T13:21:00,2026-07-05T13:21:00,NEW
Q257,L044,L036,Plumbing,MEDIUM,3,2026-07-05T11:51:00,2026-07-06T11:51:00,NEW
Q258,L003,L036,Plumbing,MEDIUM,3,2026-07-02T15:18:00,2026-07-03T15:18:00,NEW
Q259,L010,L036,Electrical,MEDIUM,3,2026-07-03T14:38:00,2026-07-04T14:38:00,NEW
Q260,L025,L036,Electrical,MEDIUM,3,2026-07-04T07:46:00,2026-07-05T07:46:00,NEW
